Unnamed,ID,Centroid,Footprint2D,State_Abbr,Area,Area2D,Height,Numfloors,WWR_surfaces,CZ,BuildingType,Standard,lat,lon,.points,index_right,City,address
279,241844955,40.730433674183004/-73.98872570816994,"POLYGON ((-73.9887239 40.7303758,-73.9886608 40.7304635,-73.9887274 40.7304918,-73.9887619 40.7304434,-73.9887909 40.7304037,-73.9887239 40.7303758))",NY,2289,763,39.698164,3,,4A,apartments,,40.73043367,-73.98872571,POINT (40.730433674183004 -73.98872570816994),,,102 East 10 Street
280,241844956,40.73007317533298/-73.98846585177621,"POLYGON ((-73.9884909 40.7300208,-73.9884318 40.7300239,-73.9884408 40.7301255,-73.9884999 40.7301225,-73.9884911 40.7300232,-73.9884909 40.7300208))",NY,3015,603,55.118112,5,,4A,apartments,,40.73007318,-73.98846585,POINT (40.73007317533298 -73.98846585177621),,,23 Stuyvesant Street
281,241844957,40.730272500000005/-73.9883396,"POLYGON ((-73.988343 40.7302166,-73.9882796 40.7303048,-73.9883362 40.7303284,-73.9883996 40.7302402,-73.988343 40.7302166))",NY,3245,649,54.461944,5,,4A,apartments,,40.7302725,-73.9883396,POINT (40.730272500000005 -73.9883396),,,114 East 10 Street
282,241844960,40.73007617654145/-73.9884075954308,"POLYGON ((-73.9884318 40.7300239,-73.9883744 40.7300268,-73.9883834 40.7301285,-73.9884408 40.7301255,-73.9884318 40.7300239))",NY,2930,586,56.102364,5,,4A,apartments,,40.73007618,-73.9884076,POINT (40.73007617654145 -73.9884075954308),,,25 Stuyvesant Street
283,241844961,40.73053498392003/-73.98819029894261,"POLYGON ((-73.9881944 40.7304681,-73.9881192 40.7305744,-73.9881862 40.7306019,-73.9882614 40.7304955,-73.9881944 40.7304681))",NY,3676,919,44.29134,4,,4A,apartments,,40.73053498,-73.9881903,POINT (40.73053498392003 -73.98819029894261),,,111 East 10 Street
284,241844962,40.730201300000004/-73.9881686,"POLYGON ((-73.9881714 40.7301452,-73.988108 40.7302333,-73.9881658 40.7302574,-73.9882292 40.7301693,-73.9881714 40.7301452))",NY,3310,662,55.446196,5,,4A,apartments,,40.7302013,-73.9881686,POINT (40.730201300000004 -73.9881686),,,120 East 10 Street
285,241844963,40.73040698349029/-73.98866184968733,"POLYGON ((-73.9886629 40.7303505,-73.9885998 40.7304381,-73.9886608 40.7304635,-73.9887239 40.7303758,-73.9886629 40.7303505))",NY,2085,695,41.338584,3,,4A,apartments,,40.73040698,-73.98866185,POINT (40.73040698349029 -73.98866184968733),,,104 East 10 Street
286,241844964,40.730507659659125/-73.98812356602996,"POLYGON ((-73.988128 40.7304409,-73.9880527 40.7305472,-73.9881192 40.7305744,-73.9881944 40.7304681,-73.988128 40.7304409))",NY,2733,911,43.963256,3,,4A,apartments,,40.73050766,-73.98812357,POINT (40.730507659659125 -73.98812356602996),,,113 East 10 Street
287,241844965,40.72938994966704/-73.98817894149045,"POLYGON ((-73.9882013 40.7292975,-73.9880871 40.7294529,-73.9881565 40.7294824,-73.9882708 40.7293271,-73.9882013 40.7292975))",NY,5680,1420,34.120736,4,,4A,apartments,,40.72938995,-73.98817894,POINT (40.72938994966704 -73.98817894149045),,,230 East 9 Street
288,241844966,40.730164932391666/-73.98804445260049,"POLYGON ((-73.988037 40.7301199,-73.9879906 40.7301844,-73.9880519 40.73021,-73.9880983 40.7301454,-73.988037 40.7301199))",NY,2570,514,56.430448,5,,4A,apartments,,40.73016493,-73.98804445,POINT (40.730164932391666 -73.98804445260049),,,124 East 10 Street
289,241844967,40.73032348928424/-73.98766398452628,"POLYGON ((-73.9876726 40.7302458,-73.9875835 40.7303718,-73.9876553 40.7304012,-73.9877445 40.7302752,-73.9876726 40.7302458))",NY,4680,1170,57.742784,4,,4A,apartments,,40.73032349,-73.98766398,POINT (40.73032348928424 -73.98766398452628),,,127 East 10 Street
290,241844968,40.73062216527651/-73.98739185657608,"POLYGON ((-73.9874136 40.7305451,-73.9874065 40.7305548,-73.9873166 40.7306763,-73.9873701 40.7306992,-73.9874671 40.730568,-73.9874136 40.7305451))",NY,3696,924,50.524936,4,,4A,apartments,,40.73062217,-73.98739186,POINT (40.73062216527651 -73.98739185657608),,,230 East 11 Street
291,241844969,40.7303101561474/-73.98846476274619,"POLYGON ((-73.988467 40.7302396,-73.9883888 40.7303503,-73.9884618 40.7303807,-73.9885411 40.7302705,-73.9884713 40.7302415,-73.988467 40.7302396))",NY,4200,1050,48.884516,4,,4A,apartments,,40.73031016,-73.98846476,POINT (40.7303101561474 -73.98846476274619),,,110 East 10 Street
292,241844970,40.729053210292825/-73.98819852989196,"POLYGON ((-73.9882232 40.7289465,-73.9881067 40.7291051,-73.9880919 40.7291251,-73.9881738 40.7291599,-73.9882105 40.72911,-73.9883051 40.7289814,-73.9882232 40.7289465))",NY,7680,1920,62.007876,4,,4A,apartments,,40.72905321,-73.98819853,POINT (40.729053210292825 -73.98819852989196),,,31 ST Marks Place
293,241844971,40.730644599869706/-73.98744424982958,"POLYGON ((-73.9874671 40.730568,-73.9873701 40.7306992,-73.9874214 40.7307212,-73.9874577 40.7306721,-73.9875184 40.73059,-73.9874671 40.730568))",NY,3544,886,50.524936,4,,4A,apartments,,40.7306446,-73.98744425,POINT (40.730644599869706 -73.98744424982958),,,228 East 11 Street
294,241844972,40.73013386568522/-73.98865502114955,"POLYGON ((-73.9885939 40.7300152,-73.9885941 40.7300179,-73.9886069 40.7301574,-73.9886162 40.7302582,-73.9887152 40.7302535,-73.988695 40.7300103,-73.9885939 40.7300152))",NY,12200,2440,62.33596,5,,4A,apartments,,40.73013387,-73.98865502,POINT (40.73013386568522 -73.98865502114955),,,19 Stuyvesant Street
295,241844973,40.73084810064241/-73.98796065391834,"POLYGON ((-73.9879862 40.7307624,-73.9879169 40.7308561,-73.9878776 40.7309092,-73.9879351 40.7309338,-73.9880437 40.730787,-73.9879862 40.7307624))",NY,4440,1110,55.118112,4,,4A,apartments,,40.7308481,-73.98796065,POINT (40.73084810064241 -73.98796065391834),,,212 East 11 Street
296,241844974,40.73031633694673/-73.9875673289549,"POLYGON ((-73.9875479 40.730422,-73.9875835 40.7303718,-73.9876726 40.7302458,-73.9875868 40.7302106,-73.987462 40.7303869,-73.9875479 40.730422))",NY,9750,1950,64.960632,5,,4A,apartments,,40.73031634,-73.98756733,POINT (40.73031633694673 -73.9875673289549),,,129 East 10 Street
297,241844975,40.730368865991295/-73.98860540276371,"POLYGON ((-73.988611 40.7302996,-73.9885317 40.7304098,-73.9885998 40.7304381,-73.9886629 40.7303505,-73.9886791 40.730328,-73.988611 40.7302996))",NY,3900,975,48.884516,4,,4A,apartments,,40.73036887,-73.9886054,POINT (40.730368865991295 -73.98860540276371),,,106 East 10 Street
298,241844976,40.730177561505464/-73.98811164544009,"POLYGON ((-73.9881153 40.7301218,-73.9880983 40.7301454,-73.9880519 40.73021,-73.988108 40.7302333,-73.9881714 40.7301452,-73.9881153 40.7301218))",NY,3215,643,55.77428,5,,4A,apartments,,40.73017756,-73.98811165,POINT (40.730177561505464 -73.98811164544009),,,122 East 10 Street
299,241844977,40.73059564215354/-73.98730508157071,"POLYGON ((-73.9873118 40.7306828,-73.9873166 40.7306763,-73.9874065 40.7305548,-73.9872983 40.7305085,-73.9872037 40.7306365,-73.9873118 40.7306828))",NY,3640,1820,45.275592,2,,4A,apartments,,40.73059564,-73.98730508,POINT (40.73059564215354 -73.98730508157071),,,232 East 11 Street
300,241844978,40.729463399434465/-73.98838751054795,"POLYGON ((-73.9882819 40.729312,-73.9882708 40.7293271,-73.9881565 40.7294824,-73.9883192 40.7295516,-73.9884841 40.7296218,-73.9885725 40.7295017,-73.9886169 40.7294412,-73.988454 40.7293719,-73.9883542 40.7293294,-73.9883467 40.7293395,-73.9882819 40.729312))",NY,30720,7680,59.383204,4,,4A,yes,,40.7294634,-73.98838751,POINT (40.729463399434465 -73.98838751054795),,,220 East 9 Street
301,241844979,40.73007177558485/-73.98821674551266,"POLYGON ((-73.9881785 40.7300368,-73.9881829 40.7300864,-73.988185 40.7301103,-73.988255 40.7301067,-73.9882485 40.7300333,-73.9881785 40.7300368))",NY,2580,516,55.77428,5,,4A,apartments,,40.73007178,-73.98821675,POINT (40.73007177558485 -73.98821674551266),,,31 Stuyvesant Street
302,241844980,40.72906353365211/-73.98829974800384,"POLYGON ((-73.9883051 40.7289814,-73.9882105 40.72911,-73.9882944 40.7291457,-73.9883507 40.7290691,-73.988389 40.729017,-73.9883051 40.7289814))",NY,5680,1420,60.039372,4,,4A,apartments,,40.72906353,-73.98829975,POINT (40.72906353365211 -73.98829974800384),,,29 ST Marks Place
